title,genre_name
Toy Story,Animation
Jumanji,Adventure
Grumpier Old Men,Romance
Waiting to Exhale,Comedy
Father of the Bride Part II,Comedy
Heat,Action
Sabrina,Comedy
Tom and Huck,Action
Sudden Death,Action
GoldenEye,Adventure
The American President,Comedy
Dracula: Dead and Loving It,Comedy
Balto,Family
Nixon,History
Cutthroat Island,Action
Casino,Drama
Sense and Sensibility,Drama
Four Rooms,Crime
Ace Ventura: When Nature Calls,Crime
Money Train,Action
Get Shorty,Comedy
Copycat,Drama
Assassins,Action
Powder,Drama
Leaving Las Vegas,Drama
Othello,Drama
Now and Then,Comedy
Persuasion,Drama
The City of Lost Children,Fantasy
Shanghai Triad,Drama
Dangerous Minds,Drama
Twelve Monkeys,Science Fiction
Wings of Courage,Romance
Babe,Fantasy
Carrington,History
Dead Man Walking,Drama
Across the Sea of Time,Adventure
It Takes Two,Comedy
Clueless,Comedy
"Cry, the Beloved Country",Drama
Richard III,Drama
Dead Presidents,Action
Restoration,Drama
Mortal Kombat,Action
To Die For,Fantasy
How To Make An American Quilt,Drama
Se7en,Crime
Pocahontas,Adventure
When Night Is Falling,Drama
The Usual Suspects,Drama
Guardian Angel,Action
Mighty Aphrodite,Comedy
Lamerica,Drama
The Big Green,Action
Georgia,Drama
Home for the Holidays,Comedy
The Postman,Comedy
The Confessional,Thriller
The Indian in the Cupboard,Adventure
Eye for an Eye,Drama
Mr. Holland's Opus,Music
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
Two If by Sea,Comedy
Bio-Dome,Comedy
Lawnmower Man 2: Beyond Cyberspace,Action
Two Bits,Drama
French Twist,Comedy
Friday,Comedy
From Dusk Till Dawn,Horror
Fair Game,Action
Kicking and Screaming,Comedy
Les Miserables,Drama
Bed of Roses,Drama
Big Bully,Comedy
Screamers,Horror
Nico Icon,Documentary
The Crossing Guard,Drama
The Juror,Drama
The White Balloon,Family
Things to Do in Denver When You're Dead,Drama
Antonia's Line,Drama
Once Upon a Time... When We Were Colored,Romance
Angels and Insects,Drama
White Squall,Action
Dunston Checks In,Adventure
Black Sheep,Comedy
Nick of Time,Crime
The Journey of August King,Drama
Mary Reilly,Drama
Vampire in Brooklyn,Comedy
Beautiful Girls,Comedy
Broken Arrow,Action
A Midwinter's Tale,Comedy
La Haine,Drama
Shopping,Action
Heidi Fleiss: Hollywood Madam,Documentary
City Hall,Drama
Bottle Rocket,Comedy
Mr. Wrong,Comedy
Unforgettable,Drama
Happy Gilmore,Comedy
The Bridges of Madison County,Drama
Nobody Loves Me,Drama
Muppet Treasure Island,Action
Catwalk,Documentary
Headless Body in Topless Bar,Crime
Braveheart,Action
Taxi Driver,Crime
Rumble in the Bronx,Crime
Before and After,Drama
Margaret's Museum,Drama
Happiness Is in the Field,Comedy
Anne Frank Remembered,Documentary
The Young Poisoner's Handbook,Comedy
If Lucy Fell,Comedy
Steal Big Steal Little,Comedy
Race the Sun,Action
The Boys of St. Vincent,Drama
Boomerang,Comedy
Chungking Express,Drama
The Star Maker,Drama
Flirting with Disaster,Comedy
The Neverending Story III: Escape from Fantasia,Fantasy
The Silences of the Palace,Drama
Pie in the Sky,Comedy
Angela,Comedy
Frankie Starlight,Drama
Jade,Action
Nueba Yol,Comedy
Sonic Outlaws,Music
Down Periscope,Comedy
From the Journals of Jean Seberg,Documentary
Man of the Year,Comedy
The Neon Bible,Drama
Up Close & Personal,Drama
The Birdcage,Comedy
Virgin Mary,Drama
The Brothers McMullen,Comedy
Bad Boys,Action
The Amazing Panda Adventure,Action
The Basketball Diaries,Drama
An Awfully Big Adventure,Romance
Amateur,Crime
Apollo 13,Drama
Rob Roy,Adventure
The Addiction,Drama
Batman Forever,Action
Belle de Jour,Drama
Beyond Rangoon,Drama
Blue in the Face,Comedy
Canadian Bacon,Action
Casper,Fantasy
Clockers,Mystery
Congo,Action
Crimson Tide,Action
Crumb,Documentary
Desperado,Thriller
Devil in a Blue Dress,Drama
Die Hard: With a Vengeance,Action
The Doom Generation,Action
Feast of July,Drama
First Knight,Action
Free Willy 2 - The Adventure Home,Adventure
Hackers,Action
Jeffrey,Comedy
Johnny Mnemonic,Adventure
Judge Dredd,Science Fiction
Jury Duty,Comedy
Kids,Drama
Living in Oblivion,Drama
Lord of Illusions,Mystery
Love & Human Remains,Comedy
Mad Love,Drama
Mallrats,Romance
Mighty Morphin Power Rangers: The Movie,Action
Moonlight and Valentino,Comedy
Mute Witness,Thriller
Nadja,Horror
The Net,Crime
Nine Months,Comedy
Party Girl,Comedy
The Prophecy,Fantasy
Reckless,Fantasy
Safe,Drama
The Scarlet Letter,Drama
The Show,Documentary
Showgirls,Drama
Smoke,Comedy
Something to Talk About,Comedy
Species,Science Fiction
The Stars Fell on Henrietta,Drama
Strange Days,Crime
The Umbrellas of Cherbourg,Drama
The Tie That Binds,Thriller
Three Wishes,Drama
Total Eclipse,Drama
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
Under Siege 2: Dark Territory,Action
Unstrung Heroes,Comedy
Unzipped,Documentary
A Walk in the Clouds,Drama
Waterworld,Adventure
White Man's Burden,Drama
Wild Bill,Action
The Browning Version,Drama
Bushwhacked,Adventure
Burnt by the Sun,Drama
Before the Rain,Drama
Before Sunrise,Drama
Billy Madison,Comedy
The Babysitter,Drama
Boys on the Side,Comedy
The Cure,Drama
Castle Freak,Thriller
Circle of Friends,Drama
Clerks,Comedy
Don Juan DeMarco,Romance
Disclosure,Drama
Dream Man,Thriller
Drop Zone,Action
Destiny Turns on the Radio,Crime
Death and the Maiden,Drama
Dolores Claiborne,Crime
Dumb and Dumber,Comedy
Eat Drink Man Woman,Comedy
Exotica,Drama
Exit to Eden,Thriller
Ed Wood,Comedy
French Kiss,Comedy
Forget Paris,Comedy
Far from Home: The Adventures of Yellow Dog,Action
A Goofy Movie,Romance
Hideaway,Drama
Fluke,Drama
Farinelli,History
Gordy,Drama
Gumby: The Movie,Fantasy
The Glass Shield,Drama
Hoop Dreams,Documentary
Heavenly Creatures,Drama
Houseguest,Comedy
Immortal Beloved,Drama
Heavyweights,Comedy
The Hunted,Action
I.Q.,Comedy
Interview with the Vampire,Horror
Jefferson in Paris,Drama
The Jerky Boys,Comedy
Junior,Comedy
Just Cause,Action
A Kid in King Arthur's Court,Adventure
Kiss of Death,Action
Star Wars,Adventure
Little Women,Drama
A Little Princess,Drama
Ladybird Ladybird,Drama
L'Enfer,Crime
Like Water for Chocolate,Drama
Legends of the Fall,Adventure
Major Payne,Adventure
Little Odessa,Action
Mi Vida Loca,Crime
Love Affair,Drama
Losing Isaiah,Drama
The Madness of King George,Comedy
Mary Shelley's Frankenstein,Drama
Man of the House,Action
Mixed Nuts,Comedy
Milk Money,Comedy
Miracle on 34th Street,Fantasy
Miami Rhapsody,Comedy
My Family,Comedy
Murder in the First,Crime
Nobody's Fool,Drama
Nell,Drama
New Jersey Drive,Crime
New York Cop,Action
Beyond Bedlam,Horror
Nemesis 2 - Nebula,Science Fiction
Nina Takes a Lover,Drama
Natural Born Killers,Crime
Only You,Comedy
Once Were Warriors,Drama
Poison Ivy II: Lily,Drama
Outbreak,Action
Leon: The Professional,Thriller
The Perez Family,Comedy
A Pyromaniac's Love Story,Comedy
Pulp Fiction,Thriller
Panther,Drama
Pushing Hands,Comedy
Priest,Drama
Quiz Show,History
Picture Bride,Drama
Queen Margot,Drama
The Quick and the Dead,Action
Roommates,Drama
Prêt-à-Porter,Drama
Three Colors: Red,Drama
Three Colors: Blue,Drama
Three Colors: White,Comedy
"Red Firecracker, Green Firecracker",Drama
Rent-a-Kid,Comedy
Relative Fear,Horror
Stuart Saves His Family,Comedy
The Swan Princess,Animation
The Secret of Roan Inish,Drama
The Specialist,Action
Stargate,Action
The Santa Clause,Fantasy
The Shawshank Redemption,Drama
Shallow Grave,Crime
Suture,Drama
Strawberry and Chocolate,Comedy
Swimming with Sharks,Crime
The Sum of Us,Comedy
Senior Trip,Comedy
To Live,Drama
Tank Girl,Action
Tales from the Crypt: Demon Knight,Horror
Star Trek: Generations,Science Fiction
Tales from the Hood,Crime
Tom & Viv,Drama
Village of the Damned,Thriller
Tommy Boy,Comedy
Vanya on 42nd Street,Drama
The Underneath,Thriller
The Walking Dead,Drama
What's Eating Gilbert Grape,Romance
Virtuosity,Action
While You Were Sleeping,Comedy
The War,Drama
Double Happiness,Comedy
Muriel's Wedding,Drama
The Baby-Sitters Club,Comedy
Ace Ventura: Pet Detective,Comedy
"The Adventures of Priscilla, Queen of the Desert",Drama
Backbeat,Drama
Bitter Moon,Thriller
Bullets Over Broadway,Action
Clear and Present Danger,Action
The Client,Drama
"Corrina, Corrina",Comedy
Crooklyn,Comedy
The Crow,Fantasy
Cobb,Drama
The Flintstones,Fantasy
Forrest Gump,Comedy
Four Weddings and a Funeral,Comedy
Higher Learning,Romance
I Like It Like That,Comedy
I Love Trouble,Action
It Could Happen to You,Comedy
The Jungle Book,Adventure
"The Wonderful, Horrible Life of Leni Riefenstahl",Documentary
The Lion King,Family
Little Buddha,Drama
New Nightmare,Horror
The Mask,Romance
Maverick,Action
Mrs. Parker and the Vicious Circle,Drama
The Naked Gun 33⅓: The Final Insult,Comedy
The Paper,Comedy
Reality Bites,Drama
Red Rock West,Crime
Ri¢hie Ri¢h,Comedy
Safe Passage,Drama
The River Wild,Action
Speed,Action
Speechless,Comedy
Timecop,Thriller
True Lies,Action
When a Man Loves a Woman,Drama
Wolf,Fantasy
Wyatt Earp,Drama
Bad Company,Action
A Man of No Importance,Comedy
S.F.W.,Comedy
A Low Down Dirty Shame,Action
"Boys Life: Three Stories of Love, Lust, and Liberation",Drama
Colonel Chabert,Drama
"Faster, Pussycat! Kill! Kill!",Action
Jason's Lyric,Crime
The Secret Adventures of Tom Thumb,Animation
Street Fighter,Action
Coldblooded,Action
Fall Time,Action
The Fear,Horror
Frank and Ollie,Documentary
Girl in the Cadillac,Romance
Homage,Thriller
Mirage,Action
Open Season,Comedy
Brother Minister: The Assassination of Malcolm X,Documentary
Highlander: The Final Dimension,Action
In the Mouth of Madness,Horror
8 Seconds,Drama
Above the Rim,Crime
Addams Family Values,Comedy
Martin Lawrence: You So Crazy,Comedy
The Age of Innocence,Drama
Airheads,Comedy
The Air Up There,Comedy
Another Stakeout,Action
Bad Girls,Action
Barcelona,Comedy
Being Human,Drama
The Beverly Hillbillies,Comedy
Beverly Hills Cop III,Action
Black Beauty,Action
Blink,Mystery
Blown Away,Drama
Blue Chips,Drama
Blue Sky,Drama
Body Snatchers,Horror
Boxing Helena,Drama
A Bronx Tale,Drama
Cabin Boy,Comedy
Calendar Girl,Drama
Carlito's Way,Action
City Slickers II: The Legend of Curly's Gold,Action
Clean Slate,Comedy
Cliffhanger,Action
Coneheads,Comedy
Color of Night,Drama
Cops & Robbersons,Action
The Cowboy Way,Western
Dangerous Game,Drama
Dave,Comedy
Dazed and Confused,Comedy
Demolition Man,Crime
The Endless Summer 2,Documentary
Even Cowgirls Get the Blues,Western
Fatal Instinct,Comedy
Farewell My Concubine,Drama
The Favor,Drama
Fearless,Drama
Fear of a Black Hat,Comedy
With Honors,Comedy
Flesh and Bone,Drama
Widows' Peak,Comedy
For Love or Money,Comedy
The Firm,Drama
Free Willy,Family
Fresh,Crime
The Fugitive,Adventure
Geronimo: An American Legend,History
The Getaway,Drama
Getting Even with Dad,Family
Go Fish,Drama
A Good Man in Africa,Comedy
Guilty as Sin,Drama
Hard Target,Action
Heaven & Earth,History
Hot Shots! Part Deux,Action
Live Nude Girls,Comedy
The Englishman Who Went Up a Hill But Came Down a Mountain,Drama
The House of the Spirits,Romance
House Party 3,Comedy
The Hudsucker Proxy,Comedy
I'll Do Anything,Comedy
In the Army Now,Comedy
In the Line of Fire,Action
In the Name of the Father,Drama
The Inkwell,Comedy
What's Love Got to Do with It,Drama
Jimmy Hollywood,Comedy
Judgment Night,Action
Jurassic Park,Adventure
Kalifornia,Thriller
Killing Zoe,Action
King of the Hill,Drama
Lassie,Action
Last Action Hero,Adventure
Life With Mikey,Comedy
Lightning Jack,Action
M. Butterfly,Drama
Made in America,Comedy
Malice,Drama
The Man without a Face,Drama
Manhattan Murder Mystery,Comedy
Menace II Society,Drama
Executive Decision,Action
In the Realm of the Senses,Drama
What Happened Was...,Thriller
Much Ado About Nothing,Drama
Mr. Jones,Drama
Mr. Wonderful,Comedy
Mrs. Doubtfire,Comedy
Naked,Comedy
The Next Karate Kid,Adventure
The New Age,Comedy
No Escape,Action
North,Comedy
Orlando,Romance
A Perfect World,Crime
Philadelphia,Drama
The Piano,Drama
Poetic Justice,Drama
The Program,Drama
The Puppet Masters,Horror
Radioland Murders,Comedy
The Ref,Comedy
The Remains of the Day,Drama
Renaissance Man,Comedy
Rising Sun,Action
The Road to Wellville,Comedy
RoboCop 3,Action
Robin Hood: Men in Tights,Comedy
Romeo Is Bleeding,Action
Romper Stomper,Action
Ruby in Paradise,Drama
Rudy,Drama
The Saint of Fort Washington,Drama
Savage Nights,Drama
Schindler's List,Drama
The Scout,Comedy
Searching for Bobby Fischer,Drama
Second Best,Drama
The Secret Garden,Drama
Serial Mom,Comedy
The Shadow,Adventure
Shadowlands,Drama
Short Cuts,Comedy
A Simple Twist of Fate,Drama
Sirens,Comedy
Six Degrees of Separation,Mystery
Sleepless in Seattle,Comedy
Sliver,Drama
Blade Runner,Science Fiction
Son in Law,Comedy
So I Married an Axe Murderer,Comedy
Striking Distance,Crime
Harem,History
Super Mario Bros.,Adventure
Surviving the Game,Action
Terminal Velocity,Action
Thirty Two Short Films About Glenn Gould,Drama
Threesome,Comedy
The Nightmare Before Christmas,Fantasy
The Three Musketeers,Action
Tombstone,Action
Trial by Jury,Drama
True Romance,Action
The War Room,Documentary
The Pagemaster,Fantasy
"Paris, France",Drama
Killer,Thriller
Welcome to the Dollhouse,Comedy
Germinal,Drama
Chasers,Comedy
Cronos,Drama
Naked in New York,Comedy
Kika,Comedy
Bhaji on the Beach,Comedy
Little Big League,Comedy
The Slingshot,Drama
Wide Eyed and Legless,TV Movie
Foreign Student,Drama
"Ciao, Professore!",Comedy
Spanking the Monkey,Comedy
The Little Rascals,Romance
À la mode,Comedy
Andre,Drama
The Escort,Thriller
Princess Caraboo,Comedy
The Celluloid Closet,History
Café au Lait,Drama
Dear Diary,Comedy
I Don't Want to Talk About It,Romance
The Brady Bunch Movie,Comedy
Home Alone,Comedy
Ghost,Fantasy
Aladdin,Animation
Terminator 2: Judgment Day,Action
Dances with Wolves,Adventure
Tough and Deadly,Thriller
Batman,Fantasy
The Silence of the Lambs,Crime
Snow White and the Seven Dwarfs,Fantasy
Beauty and the Beast,Romance
Pinocchio,Animation
Pretty Woman,Romance
Window to Paris,Comedy
The Wild Bunch,Adventure
Love and a .45,Crime
The Wooden Man's Bride,Drama
Bye Bye Love,Comedy
One Fine Day,Comedy
Candyman: Farewell to the Flesh,Horror
Century,Romance
Fargo,Crime
Homeward Bound II: Lost in San Francisco,Adventure
Heavy Metal,Animation
Hellraiser: Bloodline,Horror
The Pallbearer,Comedy
Jane Eyre,Drama
Loaded,Drama
Bread and Chocolate,Comedy
The Aristocats,Animation
The Flower of My Secret,Drama
Two Much,Comedy
Ed,Comedy
Scream of Stone,Adventure
My Favorite Season,Drama
Condition Red,Thriller
Halfaouine: Boy of the Terraces,Comedy
A Thin Line Between Love and Hate,Comedy
The Last Supper,Comedy
Primal Fear,Crime
Carried Away,Drama
All Dogs Go to Heaven 2,Romance
Land and Freedom,Drama
Denise Calls Up,Comedy
Theodore Rex,Fantasy
A Family Thing,Comedy
Frisk,Drama
Sgt. Bilko,Comedy
Jack & Sarah,Comedy
Girl 6,Comedy
Diabolique,Drama
"Little Indian, Big City",Adventure
Roula,Romance
Peanuts – Die Bank zahlt alles,Comedy
Happy Weekend,Comedy
Nelly and Monsieur Arnaud,Drama
Courage Under Fire,Drama
Mission: Impossible,Adventure
Cold Fever,Drama
Moll Flanders,Drama
The Superwife,Comedy
"301, 302",Horror
DragonHeart,Fantasy
Und keiner weint mir nach,Drama
My Mother's Courage,Drama
Eddie,Action
Yankee Zulu,Drama
Purple Noon,Crime
August,Romance
James and the Giant Peach,Adventure
Fear,Drama
Kids in the Hall: Brain Candy,Comedy
Faithful,Comedy
Underground,War
All Things Fair,War
Bloodsport II,Action
Pather Panchali,Drama
The World of Apu,Drama
Mystery Science Theater 3000: The Movie,Comedy
Space Jam,Animation
Barbarella,Science Fiction
Hostile Intentions,Thriller
They Bite,Comedy
Some Folks Call It a Sling Blade,Drama
The Run of the Country,Drama
Alphaville,Drama
Coup de Torchon,Drama
Tigrero: A Film That Was Never Made,Documentary
Windows,Horror
It's My Party,Drama
Country Life,Drama
Operation Dumbo Drop,Action
The Promise,Drama
Mrs. Winterbourne,Comedy
Solo,Action
Under The Domim Tree,Drama
The Substitute,Action
True Crime,Crime
Butterfly Kiss,Crime
Feeling Minnesota,Action
Delta of Venus,Drama
Angus,Comedy
Priest Daens,Drama
Faces,Drama
Boys,Romance
The Quest,Action
Cosi,Comedy
Sunset Park,Drama
Mulholland Falls,Drama
The Truth About Cats & Dogs,Comedy
Oliver & Company,Animation
Celtic Pride,Comedy
Flipper,Adventure
Captives,Drama
Of Love and Shadows,Drama
Dead Man,Drama
The Horseman on the Roof,War
Switchblade Sisters,Action
Mouth to Mouth,Comedy
The Visitors,Fantasy
Multiplicity,Comedy
"The Haunted World of Edward D. Wood, Jr.",Documentary
Two Friends,Drama
The Craft,Drama
The Great White Hype,Comedy
Last Dance,Drama
Cold Comfort Farm,Comedy
"Institute Benjamenta, or This Dream People Call Human Life",Animation
Heaven's Prisoners,Drama
Original Gangstas,Action
The Rock,Action
Getting Away with Murder,Comedy
Cemetery Man,Fantasy
Twister,Action
Barb Wire,Action
Le Garçu,Drama
Honeymoon,Comedy
Ghost in the Shell,Action
Thinner,Horror
Spy Hard,Action
Brothers in Trouble,Comedy
A Close Shave,Family
Force of Evil,Drama
The Stupids,Comedy
The Arrival,Action
The Man from Down Under,Drama
