track_name,artist_name,artist_genres
Trippy Mane (ft. Project Pat),Diplo,moombahton
OMG!,Yelawolf,"country hip hop, southern hip hop"
Still Get Like That (ft. Project Pat & Starrah),Diplo,moombahton
ride me like a harley,Rumelis,dark r&b
BLEED,Minzie,dark r&b
come closer,Rumelis,dark r&b
LET’S GO!,PsychoYP,"nigerian drill, alté, afro adura, afrobeats, afrobeat, afroswing"
PAPARAZZI ARRIVE - English Ver.,A2O,c-pop
MELODY - CHENYU & SHIJIE & QUCHANG,A2O,c-pop
BOSS - English Ver.,A2O,c-pop
Eggshell Tap Dancer,The All-American Rejects,"pop punk, emo"
Trip,A2O,c-pop
No Glory,Besomorph,slap house
Dracula,Tame Impala,"neo-psychedelic, indie"
PSYCHWARD (with WesGhost ft. Project Pat),Diplo,moombahton
Where Have You Been,Ken,hypertechno
Think About Us,Sonny Fodera,house
baby can you sin for me,Ex Habit,dark r&b
Amal,Abeer Nehme,"sholawat, khaleeji"
Gone Gone Gone,David Guetta,edm
Goodbye For Now,Olivia Cox,hipdut
Here and Now (Where I Wanna Be),Briezman,big room
Part of Me,A Boogie Wit da Hoodie,melodic rap
Stateside + Zara Larsson,PinkPantheress,bedroom pop
EYES CLOSED (with ZAYN),JISOO,k-pop
All Night Long,KOLBEIN,"hypertechno, melbourne bounce"
Bad Boy,KROMA,hard techno
The Fate of Ophelia,Taylor Swift,"country, pop, indie, folk"
The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,"country, pop, indie, folk"
The Serpent,Besomorph,slap house
The Way I Know,Padre Tóxico,jazz rap
Wait For You,MEDZ,"melodic bass, future bass"
Rare,Edd Stark,chicago drill
Ruin The Friendship,Taylor Swift,"country, pop, indie, folk"
Monsters,IAN SIZE,"melodic bass, nightcore, bass music"
Opalite,Taylor Swift,"country, pop, indie, folk"
High Or Die,Beatline,future house
Honey,Taylor Swift,"country, pop, indie, folk"
i don't need ur love,Rumelis,dark r&b
Actually Romantic,Taylor Swift,"country, pop, indie, folk"
CANCELLED!,Taylor Swift,"country, pop, indie, folk"
Wi$h Li$t,Taylor Swift,"country, pop, indie, folk"
Wood,Taylor Swift,"country, pop, indie, folk"
you're a star,Fred again..,"stutter house, house"
Days Like These,Luke Combs,country
Eldest Daughter,Taylor Swift,"country, pop, indie, folk"
Elizabeth Taylor,Taylor Swift,"country, pop, indie, folk"
Father Figure,Taylor Swift,"country, pop, indie, folk"
Super Woman,Haifa Wehbe,"egyptian pop, khaleeji"
يا قلبي أنا,Anthony Touma,moroccan pop
Heisenberg,Soolking,"french rap, pop urbaine, french r&b, moroccan pop"
Body,Misfit Milli,jersey club
TIT FOR TAT,Tate McRae,pop
TNA,Amb1shn,bongo flava
Come Find Me (with Clementine Douglas),MK,house
Flip Dat - feat. Babyface Ray,Ashwin Gane,hipdut
michigan,Siena Fantini,indie r&b
MY PEOPLE II,Konet,afrobeat
No Shirt,Rockstar Jt,christian hip hop
So Easy (To Fall In Love),Olivia Dean,pop soul
ADD,Khantrast,"anime rap, anime"
Loader,AthenaDME,"3 step, gqom"
She´s in the Game (Brazilian Funk),Mc Slug,"funk de bh, funk carioca"
Psycho,BURY,dark r&b
Rush From You,Rumelis,dark r&b
Holy Sin,Besomorph,slap house
Wire,Laime,"alté, nigerian drill, afrobeats, afrobeat"
You Left,shams,melodic bass
Search Party!,The All-American Rejects,"pop punk, emo"
CRAVE,Beneld,dark r&b
Obssessed,Voncho,melodic rap
irl,joegarratt,future house
